"","date","ws","wd"
"285",2009-01-12 20:00:00,0,0
"286",2009-01-12 21:00:00,2.36,327
"287",2009-01-12 22:00:00,2.36,335
"288",2009-01-12 23:00:00,1.76,40
"289",2009-01-13 00:00:00,1.76,29
"290",2009-01-13 01:00:00,0,0
"291",2009-01-13 02:00:00,1.76,353
"292",2009-01-13 03:00:00,2.36,29
"293",2009-01-13 04:00:00,0,0
"294",2009-01-13 05:00:00,0,0
"295",2009-01-13 06:00:00,0,0
"296",2009-01-13 07:00:00,0,0
"297",2009-01-13 08:00:00,1.76,71
"298",2009-01-13 09:00:00,0,0
"299",2009-01-13 10:00:00,1.76,52
"300",2009-01-13 11:00:00,2.36,21
"301",2009-01-13 12:00:00,2.86,40
"302",2009-01-13 13:00:00,3.36,37
"303",2009-01-13 14:00:00,1.76,111
"304",2009-01-13 15:00:00,2.36,86
"305",2009-01-13 16:00:00,0,0
"306",2009-01-13 17:00:00,0,0
"307",2009-01-13 18:00:00,0,0
"308",2009-01-13 19:00:00,1.76,246
"309",2009-01-13 20:00:00,0,0
"310",2009-01-13 21:00:00,0,0
"311",2009-01-13 22:00:00,0,0
"312",2009-01-13 23:00:00,0,0
"313",2009-01-14 00:00:00,0,0
"314",2009-01-14 01:00:00,0,0
"315",2009-01-14 02:00:00,0,0
"316",2009-01-14 03:00:00,0,0
"317",2009-01-14 04:00:00,0,0
"318",2009-01-14 05:00:00,0,0
"319",2009-01-14 06:00:00,0,0
"320",2009-01-14 07:00:00,0,0
"321",2009-01-14 08:00:00,1.76,70
"322",2009-01-14 09:00:00,1.76,80
"323",2009-01-14 10:00:00,1.76,NA
"324",2009-01-14 11:00:00,1.76,NA
"325",2009-01-14 12:00:00,2.36,33
"326",2009-01-14 13:00:00,0,0
"327",2009-01-14 14:00:00,0,0
"328",2009-01-14 15:00:00,0,0
"329",2009-01-14 16:00:00,0,0
"330",2009-01-14 17:00:00,0,0
"331",2009-01-14 18:00:00,0,0
"332",2009-01-14 19:00:00,0,0
"333",2009-01-14 20:00:00,0,0
"334",2009-01-14 21:00:00,0,0
"335",2009-01-14 22:00:00,0,0
"336",2009-01-14 23:00:00,0,0
"337",2009-01-15 00:00:00,0,0
"338",2009-01-15 01:00:00,0,0
"339",2009-01-15 02:00:00,1.76,348
"340",2009-01-15 03:00:00,0,0
"341",2009-01-15 04:00:00,0,0
"342",2009-01-15 05:00:00,0,0
"343",2009-01-15 06:00:00,0,0
"344",2009-01-15 07:00:00,0,0
"345",2009-01-15 08:00:00,1.76,97
"346",2009-01-15 09:00:00,2.36,17
"347",2009-01-15 10:00:00,0,0
"348",2009-01-15 11:00:00,1.76,20
"349",2009-01-15 12:00:00,2.36,NA
